,LIQUITY,VOLs,BETA,MOMENTUMN,VOL,upVOL,upVOLratio,mMV
IC_mean,-0.07295327937267171,-0.0436258860491563,-0.02900940903535304,-0.047277122638972796,-0.056740972079259676,-0.034263285946247,-0.002230880665348059,-0.026276040410732848
IC_std,0.2977137573618992,0.12561163703925704,0.20274617904514122,0.1345915934133028,0.24665199508698407,0.20515053388546725,0.08018437399736099,0.127090636943968
Rank_IC_mean,-0.04170878472927421,-0.04461655515473316,-0.03205300493099781,-0.06764137694492067,-0.051156716367935985,-0.0495616933640813,-0.007342751865818955,-0.009688690432946224
Rank_IC_std,0.33242378527219907,0.1242518341562764,0.19534650146181726,0.1490612179648302,0.26028034223302116,0.20662843324631114,0.0809807559229379,0.0980740662885046
IC_isPositive,0.2,0.4,0.4,0.6,0.4,0.4,0.4,0.6
IC_bigger005,0.8,0.6,0.6,0.6,1.0,1.0,0.6,0.6
IC_Posbigger005,1.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333
IC_Negbigger005,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0
Long_mean,0.040505166700812514,0.04095161697245643,0.047940029166010534,0.031082932026204074,0.045016568715572094,0.045077236251632305,0.043790707359617084,0.03478550664682807
Long_std,0.14014395564468166,0.07452913501168522,0.12424915188127504,0.08341176542012753,0.1312438046948637,0.1314222497886541,0.08187203984034995,0.0711399739787421
Short_mean,0.0390714655621302,0.0491895314998204,0.04257363472985284,0.04877498557011902,0.050487332016654105,0.04602629312759403,0.04588373930082372,0.03874101625777556
Short_std,0.05072391730749217,0.11335081866669892,0.07609808780326643,0.10970575404577584,0.0692698098765761,0.07714252789605652,0.10492273950486711,0.08886459789261598
LS_mean,0.0014337011386823056,-0.008237914527363967,0.005366394436157696,-0.017692053543914957,-0.005470763301082017,-0.0009490568759617263,-0.00209303194120664,-0.003955509610947492
LS_std,0.09102929421663039,0.04443296847653217,0.050194122784967224,0.04119725547379195,0.0637176525208953,0.056124947564653214,0.025931261429646243,0.026283753979175584
LongWin_mean,0.5322410147991543,0.6251585623678647,0.5597251585623678,0.5787526427061311,0.5461945031712474,0.5508456659619451,0.6204016913319238,0.58276955602537
ShortWin_mean,0.6252642706131079,0.58276955602537,0.6202959830866808,0.5693446088794927,0.6756871035940804,0.629492600422833,0.5322410147991544,0.5878435517970402
LSWin_mean,0.44894291754756877,0.5211945031712474,0.4673890063424947,0.5023784355179703,0.43298097251585627,0.4584038054968288,0.5418076109936576,0.49513742071881606
