,ASSLIABRT
IC_mean,0.000666333811686158
IC_std,0.14554626112727045
IR_mean,0.0040208347264113885
IR_std,0.5701068779522358
Rank_IC_mean,0.002088149676269804
Rank_IC_std,0.15758718326685822
IC_isPositive,0.4658385093167702
IC_bigger005,0.7639751552795031
IC_Posbigger005,0.7466666666666667
IC_Negbigger005,0.7790697674418605
Long_mean,0.015271986592562669
Long_std,0.09734806017758667
Short_mean,0.012942505438671507
Short_std,0.09150414574679921
LS_mean,0.002329481153891162
LS_std,0.04752742797389105
