,MACD1226
IC_mean,-0.012968173962849801
IC_std,0.12359702077168618
IR_mean,-0.1884620613400425
IR_std,0.8283116230420431
Rank_IC_mean,-0.029254523986808854
Rank_IC_std,0.20447092495388214
IC_isPositive,0.45962732919254656
IC_bigger005,0.6894409937888198
IC_Posbigger005,0.7027027027027027
IC_Negbigger005,0.6781609195402298
Long_mean,0.01094910231528399
Long_std,0.09748411218803318
Short_mean,0.015644234235043575
Short_std,0.10220175229369968
LS_mean,-0.0046951319197595974
LS_std,0.06078738811193851
