,RSI24
IC_mean,-0.013098590209506933
IC_std,0.19045709188296134
IR_mean,-0.10687865737380721
IR_std,0.5256003646013292
Rank_IC_mean,-0.024716371950623716
Rank_IC_std,0.19717774621855935
IC_isPositive,0.4906832298136646
IC_bigger005,0.7391304347826086
IC_Posbigger005,0.6962025316455697
IC_Negbigger005,0.7804878048780488
Long_mean,0.012861206838213436
Long_std,0.09789082087126016
Short_mean,0.015325672888002068
Short_std,0.09752338635076485
LS_mean,-0.002464466049788637
LS_std,0.05999933786525927
